Symbol,Name,Date,mkt_val,rbics_econn,rbics_econ,rbics_sectn,rbics_sect,rbics_subsectn,rbics_subsect,rbics_indgrpn,rbics_indgrp,rbics_indn,rbics_ind,rbics_subindn,rbics_subind,msci_esg_env,msci_esg_gov,msci_esg_social,sales_total,sales_ps,sales_growth
UTX,United Technologies Corporation,12/30/2011,66308.85598,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102030,Other Machinery Manufacturing,4010203025,Diversified Industrial Manufacturing,4.0102E+11,Diversified Industrial Manufacturing,7.71999979,8.600000381,2.900000095,58094,61.37847375,7.170660616
UNH,UnitedHealth Group Incorporated,12/30/2011,52656.52,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151010,Health Plan Providers,3515101020,Other Managed Care,3.5151E+11,Other Managed Care,5.5,5.369999886,5.25,101874,93.72033119,8.171759859
UNM,Unum Group,12/30/2011,6167.525151,30,Finance,3015,Insurance,301510,Insurance,30151015,Life and Health Insurance,3015101515,Supplemental Health Insurance,3.0151E+11,Other Supplemental Health Insurance,3.279999971,7.550000191,5.03000021,10298.5,33.92451848,0.820386306
URBN,"Urban Outfitters, Inc.",12/30/2011,3974.19786,-,-,-,-,-,-,-,-,-,-,-,-,2.829999924,5.489999771,3.339999914,2411.543,13.35087539,9.90509091
VFC,V.F. Corporation,12/30/2011,14039.63102,20,Consumer Cyclicals,2010,Consumer Goods,201010,Apparel and Accessory Products,20101015,Apparel and Footwear Production,2010101515,Apparel Production,2.0101E+11,Multi-Type Apparel Production,2,5.550000191,5.25,9351.707,21.01059189,21.0176229
VLO,Valero Energy Corporation,12/30/2011,11720.89561,25,Energy,2515,Downstream and Midstream Energy,251510,Downstream Energy,25151015,Petroleum Refineries,2515101510,Americas Petroleum Refineries,2.5151E+11,Americas Petroleum Refineries,3.470000029,5.409999847,4.690000057,125987,221.4182777,53.20734985
VAR,"Varian Medical Systems, Inc.",12/30/2011,7571.18992,35,Healthcare,3520,Healthcare Equipment,352020,Other Medical Devices,35202015,Specialized Medical Devices,3520201515,System-Specific Specialized Medical Devices,3.5202E+11,Oncology Devices,4.670000076,5.349999905,6.369999886,2642.552,21.87784562,10.32555941
VTR,"Ventas, Inc.",12/30/2011,15922.04017,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Healthcare and Life Sciences Equity REITs,2.890000105,4.639999866,5.03000021,1757.025,7.59492179,73.66214348
VRSN,"VeriSign, Inc.",12/30/2011,5694.55384,55,Technology,5520,Software and Consulting,552010,Internet and Data Services,55201025,Internet Support Services,5520102510,Internet Support Services,5.5201E+11,Development and Design Services,4.900000095,4.139999866,4.920000076,771.978,4.625752755,-1.342899426
VZ,Verizon Communications Inc.,12/30/2011,113700.7267,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101510,Wireless Services,6010151030,United States Wireless Services,6.01015E+11,Multi-Type United States Wireless Services,5.650000095,7.610000134,6.840000153,110875,39.05424445,4.044479895
VIAB,Viacom Inc. Class B,12/30/2011,24657.63,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151015,Entertainment and Programming Providers,1515101515,Television Cable and Broadcast Networks,1.5151E+11,US TV Cable and Broadcast Networks,5.559999943,5.78000021,6.239999771,15038,25.09506983,-
V,Visa Inc. Class A,12/30/2011,68250.80119,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101530,Electronic Transaction Processing/Clearinghouses,3.0301E+11,Electronic Payment Processing,5.340000153,4.860000134,4.650000095,9497,3.24893918,13.83195493
VNO,Vornado Realty Trust,12/30/2011,14225.25034,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Office Equity REITs,7.489999771,4.519999981,4.860000134,2900.079,15.4800157,4.669655325
VMC,Vulcan Materials Company,12/30/2011,5085.79075,45,Non-Energy Materials,4515,Mining and Mineral Products,451535,Construction Materials,45153520,Heavy Building Material and Aggregate Products,4515352010,"Asphalt, Cement and Concrete Products",4.51535E+11,"Concrete Blocks, Bricks and Aggregates Makers",2.75,5.059999943,7.900000095,2564.55,19.82168943,0.222247146
GWW,"W.W. Grainger, Inc.",12/30/2011,13096.34627,40,Industrials,4015,Industrial Services,401520,Diversified Industrials Distribution,40152020,Diversified Industrial Distribution,4015202010,Diversified Industrial Distribution,4.0152E+11,Diversified Industrial Distribution,5.630000114,5.389999866,6.28000021,8078.185,113.4956596,12.47573501
WBA,Walgreen Co.,12/30/2011,28877.9869,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501020,Health and Personal Care Retail,50102015,Pharmacies and Drug Retailers,5010201510,Pharmacies and Drug Stores,5.0102E+11,Pharmacies and Drug Stores,-,-,-,72997,78.0789616,6.720760234
WMT,Walmart Inc.,12/30/2011,205395.12,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501015,General Merchandise Retail,50101530,Warehouse Clubs and Superstores,5010153010,Warehouse Club Stores and Superstores,5.01015E+11,Warehouse Club Stores and Superstores,8.010000229,4.71999979,2.769999981,440141,114.9452316,5.001228598
DIS,Walt Disney Company,12/30/2011,68958.75,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151015,Entertainment and Programming Providers,1515101510,Other Entertainment and Programming Providers,1.5151E+11,General Entertainment and Programming,5.610000134,5.409999847,5.420000076,40956,21.42116291,4.907786885
GHC,Washington Post Co.,12/30/2011,2860.36471,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151015,Entertainment and Programming Providers,1515101510,Other Entertainment and Programming Providers,1.5151E+11,General Entertainment and Programming,5.630000114,5.880000114,3.079999924,4232.688,533.1857052,-10.94140173
WM,"Waste Management, Inc.",12/30/2011,15064.02632,10,Business Services,1010,Business Services,101025,Waste Management Services,10102510,General Waste Collection,1010251010,General Waste Collection,1.01025E+11,General Waste Collection,7.630000114,5.329999924,4.329999924,13378,28.37929571,6.89572513
WAT,Waters Corporation,12/30/2011,6590.1538,35,Healthcare,3515,Healthcare Services,351520,Miscellaneous Healthcare,35152025,Scientific Products,3515202515,General Scientific Products,3.5152E+11,Scientific Analytical Instruments,5.869999886,5.429999828,5.75,1851.184,20.05073382,12.64553165
AGN,Watson Pharmaceuticals Inc.,12/30/2011,7675.248,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,-,-,-,4584.4,36.24031621,28.52617119
ANTM,"WellPoint, Inc.",12/30/2011,22483.44005,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151010,Health Plan Providers,3515101020,Other Managed Care,3.5151E+11,Other Managed Care,5.03000021,6,5.650000095,60804,166.692413,3.266610734
WFC,Wells Fargo & Company,12/30/2011,145037.5767,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201010,Other United States Commercial Banks,3.0102E+11,Other United States Commercial Banks,4.71999979,6.309999943,2.640000105,83517,15.73655934,-8.573711809
WDC,Western Digital Corporation,12/30/2011,7273.25,55,Technology,5515,Hardware,551520,Computer Hardware and Storage,55152020,Data Storage Hardware,5515202010,Data Storage Drives and Peripherals,5.5152E+11,Data Storage Drives and Peripherals,4.75,5.199999809,3.470000029,9344,40.53617021,-5.558924601
WU,Western Union Company,12/30/2011,11310.244,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101530,Electronic Transaction Processing/Clearinghouses,3.0301E+11,Money Transfer Services,3.930000067,4.710000038,5.400000095,5522.6,8.654525386,7.393434972
WY,Weyerhaeuser Company,12/30/2011,10015.06222,45,Non-Energy Materials,4520,Manufactured Products,452020,Other Materials,45202015,Diversified Materials,4520201510,Diversified Materials,4.5202E+11,Diversified Materials,8.640000343,5.159999847,5.019999981,6438,11.61186118,-3.333333333
WHR,Whirlpool Corporation,12/30/2011,3627.59995,20,Consumer Cyclicals,2010,Consumer Goods,201020,Household Appliances and Furnishings Production,20102010,Household Appliances and Furnishings Production,2010201015,Major Appliances Manufacturing,2.0102E+11,Major Appliances Manufacturing,3.299999952,0,1.100000024,18667,239.0012804,1.638897964
WFM,"Whole Foods Market, Inc.",12/30/2011,12446.88788,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501010,Food and Beverage Retail,50101020,Grocery Stores,5010102020,Supermarkets,5.0101E+11,United States Supermarkets,5.440000057,5.539999962,6.099999905,10107.787,28.50813407,12.23648909
WMB,"Williams Companies, Inc.",12/30/2011,19514.82,25,Energy,2515,Downstream and Midstream Energy,251515,Midstream Energy,25151510,Natural Gas Pipeline and Storage Services,2515151015,US and Canada Natural Gas Pipeline and Storage,2.51515E+11,US and Canada Natural Gas Pipeline and Storage,3.819999933,5.119999886,6.900000095,10033,13.21018097,7.511787398
WIN,Windstream Corp.,12/30/2011,6883.162,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101515,Wireline Services,6010151530,United States Wireline Services,6.01015E+11,Multi-Type United States Wireline Services,-,-,-,4286.6,50.10181292,15.47952586
WEC,Wisconsin Energy Corporation,12/30/2011,8057.818668,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States Midwest Electric Utilities,4.210000038,4.869999886,4.099999905,4486.4,19.05862362,6.570383391
WYN,Wyndham Worldwide Corporation,12/30/2011,5563.207318,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101010,Accommodation Providers,1510101025,"Hotels, Motels and Resorts",1.5101E+11,Vacation Ownership Operators,-,-,-,4255,25.62650602,10.49078162
WYNN,"Wynn Resorts, Limited",12/30/2011,13820.19947,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101015,"Arts, Entertainment and Recreation Providers",1510101525,Physical and Online Casinos,1.5101E+11,Casinos and Casino Hotels,4.800000191,7.929999828,7.369999886,5269.792,41.93457312,25.93004322
XEL,Xcel Energy Inc.,12/30/2011,13446.69231,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States Midwest Electric Utilities,5.570000172,4.920000076,5.699999809,10648.734,21.92834653,3.387694217
XRX,Xerox Corporation,12/30/2011,10645.23436,55,Technology,5515,Hardware,551510,Commercial Electronics,55151030,Office Equipment Products,5515103015,Other Office Equipment Manufacturing,5.5151E+11,Other Office Equipment Manufacturing,5.599999905,5.480000019,5.559999943,22626,62.6857112,4.590209402
XLNX,"Xilinx, Inc.",12/30/2011,8383.69,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102035,Programmable Logic and ASIC Semiconductors,5510203515,Programmable Logic Device Semiconductors,5.5102E+11,Programmable Logic Device Semiconductors,3.799999952,8.5,5.349999905,2269.615,8.839200779,-1.774334343
XL,XL Group Ltd,12/30/2011,6240.317387,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Diversified Commercial Insurance,-,-,-,6832.597,21.83663901,4.055700877
XYL,Xylem Inc.,12/30/2011,4742.374,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102010,"Air, Liquid and Gas Control Equipment",4010201015,"Other Air, Liquid and Gas Control Equipment Makers",4.0102E+11,Compressor and Pumping Equipment Manufacturing,-,-,-,-,20.52347545,-
AABA,Yahoo! Inc.,12/30/2011,19194.79678,55,Technology,5520,Software and Consulting,552010,Internet and Data Services,55201035,Web-Based Data and Services,5520103515,Web-Related Content Providers,5.5201E+11,Web Portal Sites and Software,-,-,-,4984.199,3.88697572,-21.19408644
YUM,"Yum! Brands, Inc.",12/30/2011,27144.6,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101025,Restaurants and Bars,1510102515,Limited-Service and Fast Food Restaurants,1.5101E+11,General Limited-Service and Fast Food Restaurants,2.579999924,5.53000021,4.300000191,12626,26.24948025,11.31094067
ZBH,"Zimmer Biomet Holdings, Inc.",12/30/2011,9508.76,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201510,System-Specific General Medical Devices,3520151015,Orthopedics Medical Devices,3.52015E+11,Joint Replacement and Reconstruction Devices,6.139999866,5.46999979,3.910000086,4451.8,23.59194489,5.487891569
ZION,Zions Bancorporation,12/30/2011,2997.724117,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201020,United States Midwest and West Commercial Banks,3.0102E+11,United States Western Commercial Banks,-,-,-,2726.328,15.0358862,-3.776138083
MMM,3M Company,12/31/2012,63796.4597,45,Non-Energy Materials,4520,Manufactured Products,452020,Other Materials,45202015,Diversified Materials,4520201510,Diversified Materials,4.5202E+11,Diversified Materials,8.199999809,8.699999809,2.400000095,29904,42.51955069,0.989497146
ABT,Abbott Laboratories,12/31/2012,103271.7207,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,5.800000191,4.199999809,1.5,34669.205,13.50125628,-10.76426893
ANF,Abercrombie & Fitch Co. Class A,12/31/2012,3816.34929,20,Consumer Cyclicals,2025,Consumer Retail,202510,Apparel and Accessories Retail,20251020,Apparel Retail,2025102010,Casual and Specialty Apparel Retail,2.0251E+11,Teen/Young Adults Apparel and Accessories Retail,2.599999905,3,3.799999952,4371.04,46.43955013,9.861313614
ACN,Accenture Plc Class A,12/31/2012,42629.40386,55,Technology,5520,Software and Consulting,552020,Technology Consulting Services,55202020,Information Technology Consulting,5520202010,Information Technology Consulting,5.5202E+11,General Information Technology (IT) Consulting,7.599999905,10,7.199999809,29856.913,40.99299364,4.89422558
CB,ACE Limited,12/31/2012,27157.65841,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Diversified Commercial Insurance,9.100000381,7.199999809,2.799999952,18125,52.88157925,1.671621697
ADBE,Adobe Systems Incorporated,12/31/2012,18618.89376,55,Technology,5520,Software and Consulting,552015,Software,55201510,Design and Engineering Software,5520151025,Specialized Design and Engineering Software,5.52015E+11,Multimedia Design and Engineering Software,6.400000095,7,5.199999809,4373.005,8.698671828,3.809985925
ADT.I,ADT Corporation,12/31/2012,10822.08637,10,Business Services,1010,Business Services,101020,Business Support Services,10102015,Security Services,1010201510,Security Services,1.0102E+11,Security Systems Services,5.699999809,5.699999809,5,3242,13.6779661,-
AMD,"Advanced Micro Devices, Inc.",12/31/2012,1711.2,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102030,Processor Semiconductors,5510203025,Microprocessor Semiconductors,5.5102E+11,Microprocessor (MPU) Semiconductors,5.5,8.5,6.199999809,5422,7.317139001,-17.44823386
AES,AES Corporation,12/31/2012,7963.623249,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101010,International Electric Utilities,6.5101E+11,International Electricity Generator Utilities,3.799999952,8.5,7,18141,24.01721854,4.162838769
AET,Aetna Inc.,12/31/2012,15171.156,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151010,Health Plan Providers,3515101020,Other Managed Care,3.5151E+11,Other Managed Care,8.199999809,4.5,3.5,36606.7,106.1063768,8.335898195
AFL,Aflac Incorporated,12/31/2012,24848.79232,30,Finance,3015,Insurance,301510,Insurance,30151015,Life and Health Insurance,3015101515,Supplemental Health Insurance,3.0151E+11,Health Insurance,6.900000095,9.699999809,3,26187,27.9008368,7.694522125
A,"Agilent Technologies, Inc.",12/31/2012,14165.24,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,10,5.800000191,9.5,6858,19.42776204,3.673469388
GAS,"AGL Resources, Inc.",12/31/2012,4710.667348,65,Utilities,6510,Utilities,651010,Energy Utilities,65101015,Natural Gas Utilities,6510101515,United States Natural Gas Utilities,6.5101E+11,United States Natural Gas Utilities,2.299999952,4,5.900000095,3884,33.0893617,69.68108344
APD,"Air Products and Chemicals, Inc.",12/31/2012,17444.62469,45,Non-Energy Materials,4510,"Chemical, Plastic and Rubber Materials",451010,Commodity Chemicals,45101015,Other Commodity Chemical Manufacturing,4510101515,Industrial Gas Manufacturing,4.5101E+11,Industrial Gas Manufacturing,3.799999952,8.5,8,9852.6,44.76804844,-1.62254995
ARG,"Airgas, Inc.",12/31/2012,6989.1624,45,Non-Energy Materials,4510,"Chemical, Plastic and Rubber Materials",451010,Commodity Chemicals,45101015,Other Commodity Chemical Manufacturing,4510101515,Industrial Gas Manufacturing,4.5101E+11,Industrial Gas Manufacturing,0.699999988,3,6.099999905,4935.723,60.598067,7.116274992
AKAM,"Akamai Technologies, Inc.",12/31/2012,7273.094921,55,Technology,5520,Software and Consulting,552010,Internet and Data Services,55201020,Internet Hosting Services,5520102010,Colocation and Data Center Services,5.5201E+11,Colocation and Data Center Services,6.400000095,8.5,3.200000048,1373.947,7.559584922,18.59317519
AA,Alcoa Corp.,12/31/2012,9263.399752,45,Non-Energy Materials,4515,Mining and Mineral Products,451510,Metal Products,45151020,Primary Metals Products,4515102010,Alumina and Aluminum Products Manufacturing,4.5151E+11,Multi-Type Alumina and Aluminum Product Makers,-,-,-,23682,198.0836451,-5.525192484
ALXN,"Alexion Pharmaceuticals, Inc.",12/31/2012,18250.33434,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,2.400000095,4,4.400000095,1121.245,5.648560964,41.9317231
ATI,Allegheny Technologies Incorporated,12/31/2012,3260.632517,-,-,-,-,-,-,-,-,-,-,-,-,1.299999952,3,6.800000191,5031.5,43.15180103,-2.923017557
AGN.2,"Allergan, Inc.",12/31/2012,27548.72997,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,5.900000095,5.099999905,1.700000048,5806.1,18.90621947,7.141407245
ALL,Allstate Corporation,12/31/2012,19241.43,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102015,Personal Insurance,3.0151E+11,Auto Insurance,5.5,8.600000381,2.900000095,33211,67.36511156,-0.461561517
ALTR.1,Altera Corporation,12/31/2012,10989.80596,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102035,Programmable Logic and ASIC Semiconductors,5510203515,Programmable Logic Device Semiconductors,5.5102E+11,Programmable Logic Device Semiconductors,4.099999905,10,5.300000191,1783.035,5.494765745,-13.63247975
MO,Altria Group Inc,12/31/2012,63186.23491,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501520,Tobacco Production,50152010,Cigarette Manufacturing,5015201010,Cigarette Manufacturing,5.0152E+11,Cigarette Manufacturing,2.400000095,10,1.899999976,17507,8.649703557,2.326261032
AMZN,"Amazon.com, Inc.",12/31/2012,113894.98,20,Consumer Cyclicals,2025,Consumer Retail,202515,Electronics and Entertainment Retail,20251520,Mixed Electronics and Entertainment Retail,2025152010,Mixed Electronics and Entertainment Retail,2.02515E+11,Mixed Electronics and Entertainment Retail,8.600000381,3.900000095,1.5,61093,134.8631347,27.07323668
AEE,Ameren Corporation,12/31/2012,7452.672,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States Midwest Electric Utilities,1.799999952,10,8.199999809,6801,28.0708986,-9.836934907
AEP,"American Electric Power Company, Inc.",12/31/2012,20728.32603,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101015,Other United States Electric Utilities,6.5101E+11,Other United States Electric Utilities,3.099999905,10,7.699999809,14884,30.64619474,-1.201460339
AXP,American Express Company,12/31/2012,63515.4,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101535,General Consumer Finance Services,3.0301E+11,General Consumer Finance Services,8.300000191,4.5,6.599999905,34295,30.05696757,4.63448865
AIG,"American International Group, Inc.",12/31/2012,52114.16431,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Diversified Commercial Insurance,6.800000191,2.299999952,4.300000191,62839,36.32114294,1.974944014
AMT,American Tower Corporation,12/31/2012,30528.69803,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Land Equity REITs,5.800000191,5.199999809,4.199999809,2874.619,7.1993829,16.85471591
AMP,"Ameriprise Financial, Inc.",12/31/2012,12772.94971,30,Finance,3020,Investment Services,302010,Investment Services,30201030,Diversified Investment,3020103010,Diversified Investment,3.0201E+11,Diversified Investment,5,10,2.799999952,10828,46.11310592,6.879873655
ABC,AmerisourceBergen Corporation,12/31/2012,9927.950825,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151020,Healthcare Distributors,3515102020,Other Pharmaceuticals Distributors,3.5151E+11,Other Pharmaceuticals Distributors,8.100000381,5.199999809,3.200000048,80759.943,309.4148219,0.087184724
AMGN,Amgen Inc.,12/31/2012,65193.06,35,Healthcare,3510,Biopharmaceuticals,351020,System-Specific Biopharmaceuticals,35102030,Hematology Biopharmaceuticals,3510203010,Hematology Biopharmaceuticals,3.5102E+11,Hematology Biopharmaceuticals,4.900000095,10,3.900000095,17191,21.84371029,9.566602932
APH,Amphenol Corporation Class A,12/31/2012,10342.79565,55,Technology,5510,Electronic Components and Manufacturing,551010,Electronic Components,55101010,Interconnect Electronic Components,5510101015,Electronic Interconnect Components,5.5101E+11,Electronic Interconnect Components,4.099999905,10,3.299999952,4292.065,13.0897854,8.94157703
APC,Anadarko Petroleum Corporation,12/31/2012,37192.155,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151015,Pan-US Fossil Fuel Exploration/Production,2.51015E+11,Pan-US Fossil Fuel Exploration/Production,0.600000024,1.5,0,13325,26.5438247,-3.539887071
ADI,"Analog Devices, Inc.",12/31/2012,12676.42874,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102010,Analog and Mixed Signal Semiconductors,5510201010,General Analog and Mixed Signal Semiconductors,5.5102E+11,General Analog and Mixed Signal Semiconductors,5.800000191,8.5,6.900000095,2701.142,8.821755048,-9.761001163
AON,Aon plc,12/31/2012,17289.149,30,Finance,3015,Insurance,301510,Insurance,30151010,Insurance Brokerage,3015101010,Insurance Brokerage,3.0151E+11,Insurance Brokerage,3.299999952,8.5,5,11521,34.53698136,1.910659
APA,Apache Corporation,12/31/2012,30743.80045,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151010,Other Americas Fossil Fuel Exploration/Production,2.51015E+11,Pan-Americas Fossil Fuel Exploration/Production,2.099999905,2.900000095,2.700000048,16745,42.657289,-0.463650954
AIV,Apartment Investment and Management Company Class A,12/31/2012,3938.959215,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Apartment Equity REITs,4.800000191,7,5.599999905,1057.48,7.658422505,-3.343597843
APOL,"Apollo Education Group, Inc. Class A",12/31/2012,2354.31588,50,Consumer Non-Cyclicals,5025,Household Services,502510,Personal Professional Services,50251010,Educational Services,5025101015,Post-Secondary Educational Services,5.0251E+11,Colleges,6.400000095,3.799999952,3.299999952,4152.04,34.76169733,-9.448436812
AAPL,Apple Inc.,12/31/2012,499695.9375,55,Technology,5515,Hardware,551520,Computer Hardware and Storage,55152025,General Computer Hardware,5515202515,Diversified Technology Hardware,5.5152E+11,Diversified Technology Hardware,5.900000095,8.5,4.400000095,164346,23.56952948,28.65060354
AMAT,"Applied Materials, Inc.",12/31/2012,13693.68,55,Technology,5510,Electronic Components and Manufacturing,551030,Semiconductor Equipment and Services,55103010,Semiconductor Manufacturing Capital Equipment,5510301015,Semiconductor Front End Processing Equipment,5.5103E+11,Other Front End Processing Equipment Makers,7.099999905,8.5,6.400000095,8719,6.827721222,-17.08824648
ADM,Archer-Daniels-Midland Company,12/31/2012,18050.01,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501510,Agriculture,50151025,Agricultural Support Activity Providers,5015102510,Other Agricultural Support Activity Providers,5.0151E+11,Crop Processing,2.700000048,8.5,0,88916,133.5105105,10.18501307
AIZ,"Assurant, Inc.",12/31/2012,2729.641806,30,Finance,3015,Insurance,301510,Insurance,30151030,Diversified Insurance,3015103010,Diversified Insurance,3.0151E+11,Diversified Insurance,4.400000095,6.900000095,2,8491.7,99.54275182,2.80284449
T,AT&T Inc.,12/31/2012,188148.8175,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101510,Wireless Services,6010151030,United States Wireless Services,6.01015E+11,Multi-Type United States Wireless Services,8.699999809,4.5,5.400000095,127434,21.89211476,0.561066263
ADSK,"Autodesk, Inc.",12/31/2012,7943.145,55,Technology,5520,Software and Consulting,552015,Software,55201510,Design and Engineering Software,5520151010,Computer Aided Design Software,5.52015E+11,Computer Aided Design (CAD) Software,6.5,10,7.300000191,2277.2,9.504929276,5.601929141
ADP,"Automatic Data Processing, Inc.",12/31/2012,27593.971,10,Business Services,1010,Business Services,101015,Other Professional Services,10101510,Administrative Services,1010151010,Administrative Employment Services,1.01015E+11,Other Human Resources Consulting and PEO Services,6.699999809,10,3.599999905,10945,21.66842747,5.749814008
AN,"AutoNation, Inc.",12/31/2012,4798.005789,20,Consumer Cyclicals,2015,Miscellaneous Retail,201510,Auto Retail,20151015,Motor Vehicle Sales,2015101510,Automobile Dealers,2.0151E+11,New Car Dealers,5,10,4.800000191,15668.8,124.5532591,13.27689538
AZO,"AutoZone, Inc.",12/31/2012,12927.12539,20,Consumer Cyclicals,2015,Miscellaneous Retail,201510,Auto Retail,20151020,Motor Vehicles and Parts Sales and Rental,2015102015,"Automotive Parts, Accessories and Tires Sales",2.0151E+11,Automotive Parts and Accessories Stores,2.099999905,10,3.599999905,8670.561,217.1321893,5.665716752
AVB,"AvalonBay Communities, Inc.",12/31/2012,15511.96677,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Apartment Equity REITs,6.400000095,8.5,6.5,1040.547,10.57658141,6.960275895
AVY,Avery Dennison Corporation,12/31/2012,3489.047758,45,Non-Energy Materials,4520,Manufactured Products,452015,Containers and Packaging,45201515,Other Containers and Packaging Products,4520151520,Protective/Pressure Sensitive Material Products,4.52015E+11,Protective/Pressure Sensitive Material Products,8.600000381,8.5,5.5,6035.6,58.31497585,0.154323548
AVP,"Avon Products, Inc.",12/31/2012,6206.392,50,Consumer Non-Cyclicals,5020,Household Products,502020,Personal Care and Cleaning Products,50202025,General Personal Care and Cleaning Products Makers,5020202510,General Personal Care and Cleaning Products Makers,5.0202E+11,General Personal Care and Cleaning Products Makers,7.199999809,4.5,3.099999905,10717.1,24.8138458,-5.087852917
