Symbol,Name,Date,mkt_val,rbics_econn,rbics_econ,rbics_sectn,rbics_sect,rbics_subsectn,rbics_subsect,rbics_indgrpn,rbics_indgrp,rbics_indn,rbics_ind,rbics_subindn,rbics_subind,msci_esg_env,msci_esg_gov,msci_esg_social
AMZN,"Amazon.com, Inc.",12/31/2014,144312.75,20,Consumer Cyclicals,2025,Consumer Retail,202515,Electronics and Entertainment Retail,20251520,Mixed Electronics and Entertainment Retail,2025152010,Mixed Electronics and Entertainment Retail,2.02515E+11,Mixed Electronics and Entertainment Retail,8.199999809,8.5,1.100000024
AEE,Ameren Corporation,12/31/2014,11191.138,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States Midwest Electric Utilities,3.299999952,10,4.099999905
AEP,"American Electric Power Company, Inc.",12/31/2014,29716.52387,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101015,Other United States Electric Utilities,6.5101E+11,Other United States Electric Utilities,5.400000095,10,4.699999809
AXP,American Express Company,12/31/2014,95179.92,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101535,General Consumer Finance Services,3.0301E+11,General Consumer Finance Services,10,10,5.800000191
AIG,"American International Group, Inc.",12/31/2014,77065.66965,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Diversified Commercial Insurance,2.400000095,6.800000191,4.300000191
AMT,American Tower Corporation,12/31/2014,39213.66897,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Land Equity REITs,7,5,5.800000191
AMP,"Ameriprise Financial, Inc.",12/31/2014,24216.23257,30,Finance,3020,Investment Services,302010,Investment Services,30201030,Diversified Investment,3020103010,Diversified Investment,3.0201E+11,Diversified Investment,5,8.800000191,4
ABC,AmerisourceBergen Corporation,12/31/2014,19775.77392,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151020,Healthcare Distributors,3515102020,Other Pharmaceuticals Distributors,3.5151E+11,Other Pharmaceuticals Distributors,8.100000381,8,2.799999952
AME,"AMETEK, Inc.",12/31/2014,12701.47552,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102030,Other Machinery Manufacturing,4010203025,Diversified Industrial Manufacturing,4.0102E+11,Diversified Industrial Manufacturing,4.199999809,4.400000095,5.400000095
AMGN,Amgen Inc.,12/31/2014,121124.116,35,Healthcare,3510,Biopharmaceuticals,351020,System-Specific Biopharmaceuticals,35102030,Hematology Biopharmaceuticals,3510203010,Hematology Biopharmaceuticals,3.5102E+11,Hematology Biopharmaceuticals,8.5,7.5,2.900000095
APH,Amphenol Corporation Class A,12/31/2014,16674.89791,55,Technology,5510,Electronic Components and Manufacturing,551010,Electronic Components,55101010,Interconnect Electronic Components,5510101015,Electronic Interconnect Components,5.5101E+11,Electronic Interconnect Components,4.5,4,3.700000048
APC,Anadarko Petroleum Corporation,12/31/2014,41794.5,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151015,Pan-US Fossil Fuel Exploration/Production,2.51015E+11,Pan-US Fossil Fuel Exploration/Production,1.600000024,4,1.200000048
ADI,"Analog Devices, Inc.",12/31/2014,17278.09749,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102010,Analog and Mixed Signal Semiconductors,5510201010,General Analog and Mixed Signal Semiconductors,5.5102E+11,General Analog and Mixed Signal Semiconductors,7.5,7,5
ANTM,"Anthem, Inc.",12/31/2014,33693.37515,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151010,Health Plan Providers,3515101020,Other Managed Care,3.5151E+11,Other Managed Care,9.199999809,6.300000191,1.399999976
AON,Aon plc,12/31/2014,26552.4,30,Finance,3015,Insurance,301510,Insurance,30151010,Insurance Brokerage,3015101010,Insurance Brokerage,3.0151E+11,Insurance Brokerage,7.300000191,10,3.200000048
APA,Apache Corporation,12/31/2014,23595.56158,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151010,Other Americas Fossil Fuel Exploration/Production,2.51015E+11,Pan-Americas Fossil Fuel Exploration/Production,2.5,4.900000095,2.400000095
AIV,Apartment Investment and Management Company Class A,12/31/2014,5438.881629,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Apartment Equity REITs,1.399999976,3,6.099999905
AAPL,Apple Inc.,12/31/2014,643120.1292,55,Technology,5515,Hardware,551520,Computer Hardware and Storage,55152025,General Computer Hardware,5515202515,Diversified Technology Hardware,5.5152E+11,Diversified Technology Hardware,5.300000191,5.400000095,4.300000191
AMAT,"Applied Materials, Inc.",12/31/2014,30427.32,55,Technology,5510,Electronic Components and Manufacturing,551030,Semiconductor Equipment and Services,55103010,Semiconductor Manufacturing Capital Equipment,5510301015,Semiconductor Front End Processing Equipment,5.5103E+11,Other Front End Processing Equipment Makers,6.800000191,10,6.699999809
ADM,Archer-Daniels-Midland Company,12/31/2014,33124,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501510,Agriculture,50151025,Agricultural Support Activity Providers,5015102510,Other Agricultural Support Activity Providers,5.0151E+11,Crop Processing,4.199999809,10,1.299999952
AIZ,"Assurant, Inc.",12/31/2014,4742.168822,30,Finance,3015,Insurance,301510,Insurance,30151030,Diversified Insurance,3015103010,Diversified Insurance,3.0151E+11,Diversified Insurance,7.300000191,10,2.700000048
T,AT&T Inc.,12/31/2014,174228.4062,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101510,Wireless Services,6010151030,United States Wireless Services,6.01015E+11,Multi-Type United States Wireless Services,10,4.699999809,2.099999905
ADSK,"Autodesk, Inc.",12/31/2014,13647.79416,55,Technology,5520,Software and Consulting,552015,Software,55201510,Design and Engineering Software,5520151010,Computer Aided Design Software,5.52015E+11,Computer Aided Design (CAD) Software,6.900000095,4,5.800000191
ADP,"Automatic Data Processing, Inc.",12/31/2014,39775.827,10,Business Services,1010,Business Services,101015,Other Professional Services,10101510,Administrative Services,1010151010,Administrative Employment Services,1.01015E+11,Other Human Resources Consulting and PEO Services,9.800000191,10,3.599999905
AN,"AutoNation, Inc.",12/31/2014,6845.252828,20,Consumer Cyclicals,2015,Miscellaneous Retail,201510,Auto Retail,20151015,Motor Vehicle Sales,2015101510,Automobile Dealers,2.0151E+11,New Car Dealers,2,8.5,3.900000095
AZO,"AutoZone, Inc.",12/31/2014,19703.79486,20,Consumer Cyclicals,2015,Miscellaneous Retail,201510,Auto Retail,20151020,Motor Vehicles and Parts Sales and Rental,2015102015,"Automotive Parts, Accessories and Tires Sales",2.0151E+11,Automotive Parts and Accessories Stores,2,8.5,3.099999905
AVB,"AvalonBay Communities, Inc.",12/31/2014,21575.71191,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Apartment Equity REITs,4.900000095,10,6.199999809
AVY,Avery Dennison Corporation,12/31/2014,4693.010637,45,Non-Energy Materials,4520,Manufactured Products,452015,Containers and Packaging,45201515,Other Containers and Packaging Products,4520151520,Protective/Pressure Sensitive Material Products,4.52015E+11,Protective/Pressure Sensitive Material Products,6,4,6.5
AVP,"Avon Products, Inc.",12/31/2014,4081.833,50,Consumer Non-Cyclicals,5020,Household Products,502020,Personal Care and Cleaning Products,50202025,General Personal Care and Cleaning Products Makers,5020202510,General Personal Care and Cleaning Products Makers,5.0202E+11,General Personal Care and Cleaning Products Makers,7.5,2.599999905,4.099999905
BHGE,Baker Hughes Inc.,12/31/2014,24334.38,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102020,Oil and Gas Operations Support Activities,2510202040,Oil and Gas Well Servicing,2.5102E+11,Oil and Gas Well Servicing,7.5,7.199999809,6.5
BLL,Ball Corporation,12/31/2014,9336.991171,45,Non-Energy Materials,4520,Manufactured Products,452015,Containers and Packaging,45201510,Metal Packaging Products,4520151010,Metal Cans and Closures Manufacturing,4.52015E+11,Metal Cans and Closures Manufacturing,10,1,5.900000095
BAC,Bank of America Corporation,12/31/2014,188140.9449,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201010,Other United States Commercial Banks,3.0102E+11,Other United States Commercial Banks,5.400000095,1.799999952,3.900000095
BK,Bank of New York Mellon Corporation,12/31/2014,45366.49207,30,Finance,3020,Investment Services,302010,Investment Services,30201025,Securities Sales and Trading Services,3020102515,Other Securities Sales and Trading Services,3.0201E+11,Securities Sales and Trading Services,5.400000095,6.699999809,5.300000191
BAX,Baxter International Inc.,12/31/2014,39750.89,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,10,4.5,1.200000048
BBT,BB&T Corporation,12/31/2014,28027.94522,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201015,United States East and South Commercial Banks,3.0102E+11,United States South Atlantic Commercial Banks,0.600000024,5.800000191,3.099999905
BDX,"Becton, Dickinson and Company",12/31/2014,26849.36355,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,10,7.400000095,3.799999952
BBBY,Bed Bath & Beyond Inc.,12/31/2014,14137.22817,20,Consumer Cyclicals,2025,Consumer Retail,202520,Home Improvement Retail,20252015,Furniture and Home Furnishings Stores,2025201520,Home Decor and Furnishings Stores,2.0252E+11,Home Decor and Furnishings Stores,6.900000095,3,4
BRK.B,Berkshire Hathaway Inc. Class B,12/31/2014,370024.2528,30,Finance,3015,Insurance,301510,Insurance,30151030,Diversified Insurance,3015103010,Diversified Insurance,3.0151E+11,Diversified Insurance,4.900000095,3,4.800000191
BBY,"Best Buy Co., Inc.",12/31/2014,13658.86486,20,Consumer Cyclicals,2025,Consumer Retail,202515,Electronics and Entertainment Retail,20251510,Electronics Retail,2025151025,General Electronics Retail,2.02515E+11,General Electronics Retail,5.800000191,4,4.5
BIIB,Biogen Inc.,12/31/2014,79622.41035,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,6.400000095,10,4.300000191
BLK,"BlackRock, Inc.",12/31/2014,58921.16392,30,Finance,3020,Investment Services,302010,Investment Services,30201010,Asset Management and Financial Advisory Services,3020101015,Diverse Asset Management and Financial Advisors,3.0201E+11,Diverse Asset Management and Financial Advisors,5,10,6.199999809
BA,Boeing Company,12/31/2014,91860.44734,40,Industrials,4010,Industrial Manufacturing,401010,Aerospace and Defense Manufacturing,40101010,Aerospace Equipment,4010101010,Aviation Equipment,4.0101E+11,Aircraft Manufacturing,7.300000191,6.900000095,2
BWA,BorgWarner Inc.,12/31/2014,12442.33306,20,Consumer Cyclicals,2020,Consumer Vehicles and Parts,202010,Consumer Vehicles and Parts,20201010,Consumer Vehicle Parts Manufacturing,2020101015,Consumer Vehicle Powertrain and Chassis Makers,2.0201E+11,Powertrain Manufacturing,6.199999809,8.5,4.599999905
BXP,"Boston Properties, Inc.",12/31/2014,19704.23358,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Office Equity REITs,9.100000381,1,6.699999809
BSX,Boston Scientific Corporation,12/31/2014,17588.73855,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201510,System-Specific General Medical Devices,3520151010,Cardiology Medical Devices,3.52015E+11,Cardiology Surgical Devices,9.800000191,4.699999809,2.400000095
BMY,Bristol-Myers Squibb Company,12/31/2014,97576.59,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,4.699999809,4.199999809,3.900000095
BRCM,Broadcom Corporation Class A,12/31/2014,25954.67,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102040,Specialized Semiconductors,5510204020,Other Specialized Semiconductors,5.5102E+11,Other Specialized Semiconductors,6.099999905,10,3.299999952
AVGO,Broadcom Inc.,12/31/2014,25583.11913,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102020,General Semiconductors,5510202010,Diversified Semiconductors,5.5102E+11,Diversified Semiconductors,-,-,-
BF.B,Brown-Forman Corporation Class B,12/31/2014,18570.60576,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151510,Beverages Production,5015151010,Alcoholic Beverage Production,5.01515E+11,Distilleries,2.299999952,7,5
BCR,"C. R. Bard, Inc.",12/31/2014,12478.75214,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,8.399999619,4.800000191,2.200000048
CHRW,"C.H. Robinson Worldwide, Inc.",12/31/2014,10968.23962,40,Industrials,4015,Industrial Services,401515,Delivery and Logistics Services,40151520,Logistics and Supply Chain Service Providers,4015152010,Logistics and Supply Chain Service Providers,4.01515E+11,Logistics and Supply Chain Service Providers,7.599999905,3,2.099999905
CA,"CA, Inc.",12/31/2014,13346.65746,55,Technology,5520,Software and Consulting,552015,Software,55201535,IT Infrastructure Software,5520153530,Network Infrastructure Software,5.52015E+11,Other Network Software,6.900000095,8.5,5
CVC,Cablevision Systems Corporation Class A,12/31/2014,5662.741029,60,Telecommunications,6010,Telecommunications,601010,Other Telecommunications Services,60101025,Other United States Telecommunications Services,6010102510,Other United States Telecommunications Services,6.0101E+11,United States Video and Television Services,7.699999809,1.299999952,7.199999809
COG,Cabot Oil & Gas Corporation,12/31/2014,12229.59853,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151015,Pan-US Fossil Fuel Exploration/Production,2.51015E+11,Eastern Region Fossil Fuel Exploration/Production,0.699999988,5.800000191,4.099999905
CAM,Cameron International Corporation,12/31/2014,9738.873628,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102015,Oil and Gas Field Support Activities,2510201510,Oil and Gas Field Equipment Manufacturing,2.5102E+11,Oil and Gas Wellhead and Pressure Control Products,4.599999905,5.400000095,5.800000191
CPB,Campbell Soup Company,12/31/2014,13772,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151515,Food Production,5015151520,General Food Manufacturing and Processing,5.01515E+11,General Food Manufacturing and Processing,4.300000191,7,6
COF,Capital One Financial Corporation,12/31/2014,45682.45272,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101520,Credit Cards,3.0301E+11,Credit Cards,9,10,2.099999905
CAH,"Cardinal Health, Inc.",12/31/2014,26640.9,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151020,Healthcare Distributors,3515102020,Other Pharmaceuticals Distributors,3.5151E+11,Other Pharmaceuticals Distributors,8.300000191,8,2.200000048
CFN,CareFusion Corporation,12/31/2014,12117.228,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,7.099999905,4.699999809,2.700000048
KMX,"CarMax, Inc.",12/31/2014,14042.93915,20,Consumer Cyclicals,2015,Miscellaneous Retail,201510,Auto Retail,20151015,Motor Vehicle Sales,2015101510,Automobile Dealers,2.0151E+11,Used Car Dealers,2.599999905,10,4.900000095
CCL.U,Carnival Corporation,12/31/2014,35221.41,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101010,Accommodation Providers,1510101010,Cruise Lines,1.5101E+11,Ocean-Going Cruise Lines,3.900000095,4,1.100000024
CAT,Caterpillar Inc.,12/31/2014,55482.42515,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102025,Natural Resource and Construction Machinery Makers,4010202515,Multi-Type Resource/Construction Machinery Makers,4.0102E+11,Multi-Type Resource/Construction Machinery Makers,4.5,10,6
CBRE,"CBRE Group, Inc. Class A",12/31/2014,11404.94281,30,Finance,3025,Real Estate,302515,Real Estate Investment and Services,30251510,Other Real Estate Investment and Services,3025151010,Commercial Real Estate Services and Brokerage,3.02515E+11,Commercial Real Estate Services and Brokers,5.599999905,10,7.900000095
CBS,CBS Corporation Class B,12/31/2014,28057.38,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151015,Entertainment and Programming Providers,1515101510,Other Entertainment and Programming Providers,1.5151E+11,General Entertainment and Programming,10,3.099999905,3.200000048
CELG,Celgene Corporation,12/31/2014,89510.372,35,Healthcare,3510,Biopharmaceuticals,351010,Non-System-Specific Biopharmaceuticals,35101015,Oncology Biopharmaceuticals,3510101520,Other Oncology Biopharmaceuticals,3.5101E+11,Other Oncology Biopharmaceuticals,4.300000191,8.5,4.300000191
CNP,"CenterPoint Energy, Inc.",12/31/2014,10074.9,65,Utilities,6510,Utilities,651010,Energy Utilities,65101015,Natural Gas Utilities,6510101515,United States Natural Gas Utilities,6.5101E+11,United States Natural Gas Utilities,4.400000095,8.5,3.299999952
CTL,"CenturyLink, Inc.",12/31/2014,22501.90286,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101515,Wireline Services,6010151530,United States Wireline Services,6.01015E+11,Multi-Type United States Wireline Services,8.399999619,4.900000095,3.700000048
CERN,Cerner Corporation,12/31/2014,22135.27092,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151015,Healthcare Administrative Support Services,3515101515,Healthcare and Pharma Industry Software,3.5151E+11,Healthcare Management Software,6.699999809,7,4.099999905
CF,"CF Industries Holdings, Inc.",12/31/2014,13173.11461,45,Non-Energy Materials,4510,"Chemical, Plastic and Rubber Materials",451020,Specialty and Performance Chemicals,45102020,Agrochemical Products,4510202010,Fertilizers Manufacturing,4.5102E+11,Nitrogenous Fertilizer Manufacturing,1.299999952,4,0.400000006
SCHW,Charles Schwab Corporation,12/31/2014,39570.70455,30,Finance,3020,Investment Services,302010,Investment Services,30201030,Diversified Investment,3020103010,Diversified Investment,3.0201E+11,Diversified Investment,3.5,6.5,4.599999905
CHK,Chesapeake Energy Corporation,12/31/2014,12981.36653,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151020,US Southern Fossil Fuel Exploration/Production,2.51015E+11,Mid-Continent Fossil Fuel Exploration/Production,1.299999952,2.799999952,3.299999952
CVX,Chevron Corporation,12/31/2014,210859.0033,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101515,Integrated Oil and Gas Exploration and Production,2510151510,Integrated Oil and Gas Exploration and Production,2.51015E+11,Integrated Oil and Gas Exploration and Production,2.400000095,5.800000191,4
CMG,"Chipotle Mexican Grill, Inc.",12/31/2014,21238.29177,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101025,Restaurants and Bars,1510102515,Limited-Service and Fast Food Restaurants,1.5101E+11,Mexican Restaurants,5.5,1,3.900000095
CB.1,Chubb Corporation,12/31/2014,24049.46888,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Multi-Type Commercial Insurance,4.800000191,10,3.700000048
CI,Cigna Corporation,12/31/2014,26682.09316,35,Healthcare,3515,Healthcare Services,351520,Miscellaneous Healthcare,35152035,Diversified Healthcare Services,3515203510,Diversified Healthcare Services,3.5152E+11,Diversified Healthcare Services,9.800000191,6.300000191,1.399999976
XEC,Cimarex Energy Co.,12/31/2014,9284.80871,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151020,US Southern Fossil Fuel Exploration/Production,2.51015E+11,Mid-Continent Fossil Fuel Exploration/Production,1.5,6.900000095,3
CINF,Cincinnati Financial Corporation,12/31/2014,8484.571,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Multi-Type Commercial Insurance,7.599999905,3,1.600000024
CTAS,Cintas Corporation,12/31/2014,9199.681501,10,Business Services,1010,Business Services,101020,Business Support Services,10102010,Facilities and Other Support Services,1010201015,Other Support Services,1.0102E+11,Linen and Uniform Supply Services,4.800000191,5,3.400000095
CSCO,"Cisco Systems, Inc.",12/31/2014,142106.835,55,Technology,5515,Hardware,551515,Communications Equipment,55151525,Other Communications Equipment,5515152510,General Communications Equipment,5.51515E+11,General Communications Equipment,5.800000191,5.800000191,5.300000191
C,Citigroup Inc.,12/31/2014,163624.18,30,Finance,3020,Investment Services,302010,Investment Services,30201030,Diversified Investment,3020103010,Diversified Investment,3.0201E+11,Diversified Investment,6.5,2.099999905,4.5
CTXS,"Citrix Systems, Inc.",12/31/2014,10257.5088,55,Technology,5520,Software and Consulting,552015,Software,55201535,IT Infrastructure Software,5520153530,Network Infrastructure Software,5.52015E+11,Other Network Software,6.800000191,10,4.400000095
CLX,Clorox Company,12/31/2014,13648.24312,50,Consumer Non-Cyclicals,5020,Household Products,502020,Personal Care and Cleaning Products,50202025,General Personal Care and Cleaning Products Makers,5020202510,General Personal Care and Cleaning Products Makers,5.0202E+11,General Personal Care and Cleaning Products Makers,5,10,5.900000095
CME,CME Group Inc. Class A,12/31/2014,29738.08575,30,Finance,3020,Investment Services,302010,Investment Services,30201025,Securities Sales and Trading Services,3020102525,Securities Exchanges and ECNs,3.0201E+11,Securities Exchanges,6.5,7.400000095,3.200000048
CMS,CMS Energy Corporation,12/31/2014,9562.644,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States Midwest Electric Utilities,5.900000095,10,0.699999988
TPR,Coach Inc.,12/31/2014,10355.292,20,Consumer Cyclicals,2010,Consumer Goods,201010,Apparel and Accessory Products,20101010,Accessories Production,2010101015,"Leather, Handbags and Luggage Goods",2.0101E+11,"Leather, Handbags and Luggage Goods Production",2.5,10,3.700000048
KO,Coca-Cola Company,12/31/2014,184332.52,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151510,Beverages Production,5015151020,Non-Alcoholic Beverage Production,5.01515E+11,Multi-Type Non-Alcoholic Beverages Makers,7.300000191,8.5,4
CCE,Coca-Cola European Partners Plc,12/31/2014,10579.45629,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151510,Beverages Production,5015151020,Non-Alcoholic Beverage Production,5.01515E+11,Non-Alcoholic Beverage Bottling and Distribution,-,-,-
CTSH,Cognizant Technology Solutions Corporation Class A,12/31/2014,32090.89868,55,Technology,5520,Software and Consulting,552020,Technology Consulting Services,55202015,Industry-Specific IT Services,5520201510,Multi-Industry-Specific IT Services,5.5202E+11,Multi-Industry-Specific IT Services,5.699999809,8.5,4.599999905
CL,Colgate-Palmolive Company,12/31/2014,62735.41331,50,Consumer Non-Cyclicals,5020,Household Products,502020,Personal Care and Cleaning Products,50202025,General Personal Care and Cleaning Products Makers,5020202510,General Personal Care and Cleaning Products Makers,5.0202E+11,General Personal Care and Cleaning Products Makers,7.199999809,4.699999809,4
CMCSA,Comcast Corporation Class A,12/31/2014,147407.301,60,Telecommunications,6010,Telecommunications,601010,Other Telecommunications Services,60101025,Other United States Telecommunications Services,6010102510,Other United States Telecommunications Services,6.0101E+11,General United States Telecommunications Services,8.699999809,4.699999809,0
CMA,Comerica Incorporated,12/31/2014,8385.231177,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201010,Other United States Commercial Banks,3.0102E+11,Other United States Commercial Banks,3.900000095,6.900000095,4.900000095
DXC,Computer Sciences Corporation,12/31/2014,8889.537404,55,Technology,5520,Software and Consulting,552020,Technology Consulting Services,55202020,Information Technology Consulting,5520202010,Information Technology Consulting,5.5202E+11,General Information Technology (IT) Consulting,-,-,-
CAG,"Conagra Brands, Inc.",12/31/2014,15452.26702,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151515,Food Production,5015151520,General Food Manufacturing and Processing,5.01515E+11,General Food Manufacturing and Processing,4.300000191,10,3.700000048
COP,ConocoPhillips,12/31/2014,85037.21712,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151010,Other Americas Fossil Fuel Exploration/Production,2.51015E+11,Pan-Americas Fossil Fuel Exploration/Production,3.700000048,6.599999905,5.400000095
CNX,CONSOL Energy Inc.,12/31/2014,7785.275304,25,Energy,2510,Upstream Energy,251010,Coal and Uranium Mining,25101010,Americas Coal Mining,2510101010,Americas Coal Mining,2.5101E+11,United States Coal Mining,2.200000048,3.799999952,5.199999809
ED,"Consolidated Edison, Inc.",12/31/2014,19332.7577,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States Northeast Electric Utilities,6.900000095,10,4.099999905
STZ,"Constellation Brands, Inc. Class A",12/31/2014,18985.3862,-,-,-,-,-,-,-,-,-,-,-,-,3.5,2,7.199999809
GLW,Corning Inc,12/31/2014,29212.82,45,Non-Energy Materials,4515,Mining and Mineral Products,451515,Minerals,45151510,Nonmetallic Minerals Products,4515151020,Industrial Glass Products Manufacturing,4.51515E+11,Industrial Glass Products Manufacturing,5.800000191,8.5,4.699999809
COST,Costco Wholesale Corporation,12/31/2014,62440.73325,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501015,General Merchandise Retail,50101530,Warehouse Clubs and Superstores,5010153010,Warehouse Club Stores and Superstores,5.01015E+11,Warehouse Club Stores and Superstores,3.400000095,3,2.299999952
COV,Covidien Plc,12/31/2014,46433.63217,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,10,5.400000095,3
CCI,Crown Castle International Corp,12/31/2014,26274.51694,-,-,-,-,-,-,-,-,-,-,-,-,5.699999809,5.099999905,2.400000095
CSX,CSX Corporation,12/31/2014,35925.34081,40,Industrials,4015,Industrial Services,401510,Cargo Transportation and Infrastructure Services,40151020,Road and Rail Transportation Operators,4015102010,Rail Transportation,4.0151E+11,United States Class I Railroad Transportation,5.400000095,10,3.299999952
CMI,Cummins Inc.,12/31/2014,26267.774,40,Industrials,4010,Industrial Manufacturing,401025,Transportation Equipment Manufacturing,40102515,General Transportation Equipment Manufacturing,4010251510,General Transportation Equipment Manufacturing,4.01025E+11,General Transportation Equipment Manufacturing,5.300000191,8.5,7
CVS,CVS Health Corporation,12/31/2014,109793.4,35,Healthcare,3515,Healthcare Services,351520,Miscellaneous Healthcare,35152035,Diversified Healthcare Services,3515203510,Diversified Healthcare Services,3.5152E+11,Diversified Healthcare Services,10,4,1.899999976
DHI,"D.R. Horton, Inc.",12/31/2014,9239.465721,30,Finance,3025,Real Estate,302510,Home Builders and Manufactured Buildings,30251010,Home Builders,3025101010,Home Builders,3.0251E+11,Home Builders,1.799999952,5,2.700000048
